Name,Social distancing index,% staying home,Trips/person,% out-of-county trips,% out-of-state trips,Miles/person,Work trips/person,Non-work trips/person,Population,% change in consumption,date,Transit mode share,% people older than 60,Median income,% African Americans,% Hispanic Americans,% Male,Population density,Employment density,# hot spots/1000 people,Unemployment claims/1000 people,Unemployment rate,% working from home,Cumulative inflation rate,COVID death rate
USA,53,31,2.48,27.5,4.9,30.2,0.24,2.23,327167434,-21.6,1/1/2020,4.83,21,62940,12.3,17.9,49.24,86,40,133,1,3.6,4.9,0.4,0
USA,20,20,3.34,29.2,4.7,38.8,0.59,2.75,327167434,-3.3,1/2/2020,4.83,21,62940,12.3,17.9,49.24,86,40,133,1,3.6,4.9,0.4,0
USA,16,19,3.51,29.4,4.7,40.8,0.59,2.93,327167434,3.1,1/3/2020,4.83,21,62940,12.3,17.9,49.24,86,40,133,1,3.6,4.9,0.4,0
USA,32,24,3.13,28.9,4.8,37,0.31,2.82,327167434,-0.8,1/4/2020,4.83,21,62940,12.3,17.9,49.24,86,40,133,1,3.6,4.9,0.4,0
USA,45,28,2.72,27.7,4.9,33.8,0.26,2.46,327167434,-13.5,1/5/2020,4.83,21,62940,12.3,17.9,49.24,86,40,133,1,3.6,4.9,0.4,0
USA,18,19,3.42,28.7,4.4,37.7,0.63,2.79,327167434,-1.9,1/6/2020,4.83,21,62940,12.3,17.9,49.24,86,40,133,1,3.6,4.9,0.4,0
USA,17,19,3.45,28.7,4.3,36.8,0.65,2.8,327167434,-1.5,1/7/2020,4.83,21,62940,12.3,17.9,49.24,86,40,133,1,3.6,4.9,0.4,0
USA,16,19,3.47,28.8,4.3,37,0.65,2.82,327167434,-0.8,1/8/2020,4.83,21,62940,12.3,17.9,49.24,86,40,133,1,3.6,4.9,0.4,0
USA,15,18,3.5,29.1,4.4,38.4,0.65,2.85,327167434,0.3,1/9/2020,4.83,21,62940,12.3,17.9,49.24,86,40,133,1,3.6,4.9,0.4,0
USA,14,18,3.63,29,4.5,40.2,0.63,3.01,327167434,5.9,1/10/2020,4.83,21,62940,12.3,17.9,49.24,86,40,133,1,3.6,4.9,0.4,0
USA,35,25,3.13,27.9,4.3,33.5,0.32,2.81,327167434,-1.2,1/11/2020,4.83,21,62940,12.3,17.9,49.24,86,40,133,1,3.6,4.9,0.4,0
USA,44,28,2.77,27.4,4.6,32.6,0.27,2.5,327167434,-12.1,1/12/2020,4.83,21,62940,12.3,17.9,49.24,86,40,133,0.8,3.5,4.9,0.4,0
USA,20,20,3.4,28.5,4.3,36.9,0.59,2.8,327167434,-1.5,1/13/2020,4.83,21,62940,12.3,17.9,49.24,86,40,133,0.8,3.5,4.9,0.4,0
USA,16,19,3.5,28.6,4.3,37.2,0.62,2.89,327167434,1.7,1/14/2020,4.83,21,62940,12.3,17.9,49.24,86,40,133,0.8,3.5,4.9,0.4,0
USA,15,18,3.54,28.7,4.3,38.1,0.62,2.92,327167434,2.7,1/15/2020,4.83,21,62940,12.3,17.9,49.24,86,40,133,0.8,3.5,4.9,0.4,0
USA,15,18,3.52,29,4.5,39.6,0.61,2.91,327167434,2.4,1/16/2020,4.83,21,62940,12.3,17.9,49.24,86,40,133,0.8,3.5,4.9,0.4,0
USA,16,19,3.62,29,4.6,41.5,0.58,3.03,327167434,6.6,1/17/2020,4.83,21,62940,12.3,17.9,49.24,86,40,133,0.8,3.5,4.9,0.4,0
USA,35,25,3.13,27.6,4.3,34.5,0.32,2.81,327167434,-1.2,1/18/2020,4.83,21,62940,12.3,17.9,49.24,86,40,133,0.8,3.5,4.9,0.4,0
USA,44,28,2.77,27.3,4.6,32.9,0.27,2.5,327167434,-12.1,1/19/2020,4.83,21,62940,12.3,17.9,49.24,86,40,133,0.7,3.5,4.9,0.4,0
USA,28,23,3.14,29.6,4.8,38.4,0.5,2.64,327167434,-7.1,1/20/2020,4.83,21,62940,12.3,17.9,49.24,86,40,133,0.7,3.5,4.9,0.4,0
USA,17,19,3.44,28.9,4.4,37.9,0.63,2.81,327167434,-1.2,1/21/2020,4.83,21,62940,12.3,17.9,49.24,86,40,133,0.7,3.5,4.9,0.4,0
USA,17,19,3.44,28.8,4.4,37.5,0.63,2.81,327167434,-1.2,1/22/2020,4.83,21,62940,12.3,17.9,49.24,86,40,133,0.7,3.5,4.9,0.4,0
USA,14,18,3.53,28.9,4.4,39.3,0.64,2.89,327167434,1.7,1/23/2020,4.83,21,62940,12.3,17.9,49.24,86,40,133,0.7,3.5,4.9,0.4,0
USA,14,18,3.69,29.1,4.6,42,0.62,3.06,327167434,7.6,1/24/2020,4.83,21,62940,12.3,17.9,49.24,86,40,133,0.7,3.5,4.9,0.4,0
USA,29,23,3.25,28.8,4.5,36.4,0.33,2.92,327167434,2.7,1/25/2020,4.83,21,62940,12.3,17.9,49.24,86,40,133,0.7,3.5,4.9,0.4,0
USA,41,27,2.83,27.8,4.7,34.1,0.28,2.55,327167434,-10.3,1/26/2020,4.83,21,62940,12.3,17.9,49.24,86,40,133,0.7,3.5,4.9,0.4,0
USA,17,19,3.43,28.6,4.3,38.1,0.64,2.8,327167434,-1.5,1/27/2020,4.83,21,62940,12.3,17.9,49.24,86,40,133,0.7,3.5,4.9,0.4,0
USA,16,18,3.48,28.7,4.3,37.5,0.65,2.83,327167434,-0.5,1/28/2020,4.83,21,62940,12.3,17.9,49.24,86,40,133,0.7,3.5,4.9,0.4,0
USA,15,18,3.5,28.8,4.4,38.2,0.65,2.85,327167434,0.3,1/29/2020,4.83,21,62940,12.3,17.9,49.24,86,40,133,0.7,3.5,4.9,0.4,0
USA,14,18,3.55,29,4.5,39.8,0.65,2.9,327167434,2,1/30/2020,4.83,21,62940,12.3,17.9,49.24,86,40,133,0.7,3.5,4.9,0.4,0
USA,13,17,3.74,29.1,4.6,42.6,0.63,3.1,327167434,9,1/31/2020,4.83,21,62940,12.3,17.9,49.24,86,40,133,0.7,3.5,4.9,0.4,0
USA,26,22,3.36,28.6,4.5,37.1,0.33,3.02,327167434,6.2,2/1/2020,4.83,21,62940,12.3,17.9,49.24,86,40,133,0.7,3.5,4.9,0.7,0
USA,42,26,2.87,26.9,4.4,32.4,0.28,2.59,327167434,-8.9,2/2/2020,4.83,21,62940,12.3,17.9,49.24,86,40,133,0.7,3.5,4.9,0.7,0
USA,18,19,3.45,28.4,4.4,38.2,0.63,2.81,327167434,-1.2,2/3/2020,4.83,21,62940,12.3,17.9,49.24,86,40,133,0.7,3.5,4.9,0.7,0
