STFIPS,STNAME,Social distancing index,% staying home,Trips/person,% out-of-county trips,% out-of-state trips,Miles/person,Work trips/person,Non-work trips/person,Population,% change in consumption,date,Transit mode share,% people older than 60,Median income,% African Americans,% Hispanic Americans,% Male,Population density,Employment density,# hot spots/1000 people,% people older than 60 rank,Unemployment claims/1000 people,Unemployment rate,% working from home,Cumulative inflation rate,COVID death rate,Social distancing index rank,% out-of-county trips rank,% out-of-state trips rank,New cases/1000 people rank,Imported COVID cases rank,#days: decreasing COVID cases rank,#days: decreasing ILI cases rank,Testing capacity rank,% hospital bed utilization rank,% ICU utilization rank,Ventilator shortage rank,Unemployment rate rank,% working from home rank,% change in consumption rank,COVID death rate rank
11,DC,48,37,3.28,44.1,44.1,40.2,0.6,2.68,702455,-10.7,1/1/2020,34.83,17,82604,46.1,10.9,47.46,10016,16044,206,6,0.7,5.2,6.1,0.3,0,82,100,100,51,51,49,49,51,94,51,51,94,13,0,51
11,DC,25,28,4.12,47.8,47.8,45.2,1.13,2.98,702455,-0.7,1/2/2020,34.83,17,82604,46.1,10.9,47.46,10016,16044,206,6,0.7,5.2,6.1,0.3,0,8,100,100,51,51,49,49,51,94,51,51,94,13,39,51
11,DC,22,27,4.27,47.9,47.9,44.4,1.14,3.13,702455,4.3,1/3/2020,34.83,17,82604,46.1,10.9,47.46,10016,16044,206,6,0.7,5.2,6.1,0.3,0,0,100,100,51,51,49,49,51,94,51,51,94,13,47,51
11,DC,37,32,3.9,44.1,44.1,38.8,0.6,3.3,702455,9.9,1/4/2020,34.83,17,82604,46.1,10.9,47.46,10016,16044,206,6,0.7,5.2,6.1,0.3,0,3,98,100,51,51,49,49,51,94,51,51,94,13,0,51
11,DC,49,38,3.28,45.3,45.3,51.1,0.54,2.74,702455,-8.7,1/5/2020,34.83,17,82604,46.1,10.9,47.46,10016,16044,206,6,1,5.2,6.1,0.3,0,14,100,100,51,51,49,49,51,94,51,51,94,13,0,51
11,DC,23,27,4.13,50.7,50.7,37.2,1.15,2.97,702455,-1,1/6/2020,34.83,17,82604,46.1,10.9,47.46,10016,16044,206,6,1,5.2,6.1,0.3,0,2,100,100,51,51,49,49,51,94,51,51,94,13,38,51
11,DC,28,30,4.11,50.5,50.5,33.3,1.16,2.94,702455,-2,1/7/2020,34.83,17,82604,46.1,10.9,47.46,10016,16044,206,6,1,5.2,6.1,0.3,0,2,100,100,51,51,49,45,51,94,51,51,94,13,80,51
11,DC,24,27,4.14,50.3,50.3,33.2,1.22,2.93,702455,-2.4,1/8/2020,34.83,17,82604,46.1,10.9,47.46,10016,16044,206,6,1,5.2,6.1,0.3,0,0,100,100,51,51,49,45,51,94,51,51,94,13,88,51
11,DC,23,27,4.24,50.9,50.9,33.3,1.23,3.01,702455,0.3,1/9/2020,34.83,17,82604,46.1,10.9,47.46,10016,16044,206,6,1,5.2,6.1,0.3,0,0,100,100,51,51,49,45,51,94,51,51,94,13,71,51
11,DC,20,26,4.49,49.8,49.8,40,1.28,3.2,702455,6.6,1/10/2020,34.83,17,82604,46.1,10.9,47.46,10016,16044,206,6,1,5.2,6.1,0.3,0,1,100,100,51,51,49,45,51,94,51,51,94,13,53,51
